Country_Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Senegal,SEN,0.21,0.24,0.24,0.25,0.26,0.26,0.27,0.28,0.29,0.29,0.3,0.32,0.33,0.34,0.35,0.35,0.35,0.35,0.35
Seychelles,SYC,0.59,0.58,0.59,0.6,0.59,0.62,0.59,0.64,0.66,0.67,0.68,0.66,0.71,0.72,0.75,0.76,0.76,0.75,0.75
Sierra Leone,SLE,0.27,0.28,0.29,0.3,0.3,0.31,0.32,0.33,0.33,0.34,0.35,0.36,0.36,0.37,0.37,0.38,0.39,0.4,0.4
South Africa,ZAF,0.65,0.61,0.64,0.65,0.65,0.66,0.66,0.66,0.68,0.69,0.7,0.67,0.69,0.7,0.71,0.72,0.72,0.72,0.72
South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,0.3,0.33,0.33,0.32,0.31,0.3,0.3,0.3,0.3
Sudan,SDN,0.24,0.24,0.25,0.26,0.27,0.27,0.28,0.28,0.3,0.31,0.31,0.3,0.31,0.32,0.33,0.33,0.34,0.34,0.34
Tanzania,TZA,0.31,0.32,0.33,0.34,0.35,0.37,0.38,0.39,0.4,0.41,0.42,0.42,0.43,0.42,0.42,0.43,0.42,0.42,0.42
Togo,TGO,0.4,0.41,0.41,0.42,0.42,0.43,0.44,0.42,0.44,0.45,0.46,0.48,0.48,0.49,0.49,0.5,0.51,0.51,0.51
Uganda,UGA,0.43,0.44,0.46,0.46,0.44,0.45,0.45,0.46,0.47,0.48,0.49,0.49,0.48,0.49,0.5,0.5,0.5,0.51,0.52
Zambia,ZMB,0.47,0.48,0.49,0.5,0.51,0.51,0.52,0.51,0.52,0.52,0.53,0.53,0.53,0.53,0.53,0.53,0.55,0.57,0.57
Zimbabwe,ZWE,0.49,0.5,0.49,0.48,0.49,0.49,0.5,0.5,0.51,0.52,0.52,0.53,0.55,0.55,0.56,0.56,0.57,0.57,0.57
Sub-Saharan Africa,SSF,0.34,0.34,0.36,0.37,0.38,0.39,0.4,0.4,0.42,0.43,0.42,0.43,0.44,0.45,0.45,0.46,0.46,0.47,0.47
