Country_Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Mauritania,MRT,$730 ,$650 ,$650 ,$710 ,$800 ,$940 ,"$1,150 ","$1,230 ","$1,380 ","$1,440 ","$1,500 ","$1,600 ","$1,760 ","$1,850 ","$1,750 ","$1,640 ","$1,510 ","$1,500 ","$1,580 "
Mauritius,MUS,"$3,900 ","$3,970 ","$3,960 ","$4,410 ","$5,170 ","$5,600 ","$5,930 ","$6,490 ","$7,400 ","$7,800 ","$8,080 ","$8,400 ","$9,550 ","$10,520 ","$10,820 ","$10,700 ","$10,640 ","$10,980 ","$12,040 "
Namibia,NAM,"$2,260 ","$2,100 ","$2,010 ","$2,290 ","$2,890 ","$3,530 ","$4,040 ","$4,210 ","$4,310 ","$4,260 ","$4,510 ","$5,150 ","$5,680 ","$5,910 ","$5,760 ","$5,290 ","$4,700 ","$4,610 ","$4,900 "
Rwanda,RWA,$240 ,$220 ,$220 ,$210 ,$240 ,$280 ,$330 ,$390 ,$490 ,$560 ,$610 ,$660 ,$710 ,$730 ,$740 ,$750 ,$750 ,$740 ,$780 
Sao Tome and Principe,STP, .. , .. , .. ,$600 ,$700 ,$820 ,$940 ,$960 ,"$1,020 ","$1,060 ","$1,130 ","$1,190 ","$1,240 ","$1,440 ","$1,640 ","$1,660 ","$1,700 ","$1,700 ","$1,890 "
Senegal,SEN,$650 ,$630 ,$600 ,$710 ,$870 ,"$1,000 ","$1,040 ","$1,120 ","$1,270 ","$1,340 ","$1,340 ","$1,310 ","$1,330 ","$1,360 ","$1,380 ","$1,320 ","$1,270 ","$1,280 ","$1,400 "
Seychelles,SYC,"$7,290 ","$7,310 ","$6,850 ","$7,490 ","$9,280 ","$11,140 ","$12,580 ","$12,280 ","$11,180 ","$10,230 ","$10,220 ","$10,570 ","$11,540 ","$12,700 ","$13,350 ","$14,020 ","$13,840 ","$14,310 ","$15,670 "
Sierra Leone,SLE,$140 ,$150 ,$200 ,$270 ,$280 ,$290 ,$300 ,$360 ,$420 ,$440 ,$420 ,$430 ,$530 ,$660 ,$700 ,$550 ,$490 ,$520 ,$490 
South Africa,ZAF,"$3,070 ","$2,860 ","$2,670 ","$2,920 ","$3,720 ","$4,990 ","$5,630 ","$5,910 ","$5,980 ","$5,850 ","$6,190 ","$6,990 ","$7,570 ","$7,350 ","$6,760 ","$6,050 ","$5,470 ","$5,410 ","$5,750 "
South Sudan,SSD, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. ,$810 ,$850 ,"$1,160 ","$1,250 ","$1,090 ", .. , .. , .. 
Sudan,SDN,$340 ,$350 ,$380 ,$430 ,$500 ,$600 ,$700 ,$910 ,"$1,080 ","$1,150 ","$1,190 ","$1,350 ","$1,540 ","$1,490 ","$1,560 ","$1,690 ","$1,570 ","$1,320 ",$840 
Tanzania,TZA,$410 ,$410 ,$420 ,$430 ,$470 ,$500 ,$520 ,$540 ,$600 ,$670 ,$720 ,$770 ,$810 ,$890 ,$970 ,$980 ,$970 ,$970 ,"$1,020 "
Togo,TGO,$310 ,$290 ,$300 ,$350 ,$390 ,$400 ,$410 ,$420 ,$470 ,$530 ,$560 ,$610 ,$590 ,$620 ,$640 ,$640 ,$610 ,$600 ,$660 
Uganda,UGA,$270 ,$250 ,$250 ,$250 ,$280 ,$310 ,$350 ,$390 ,$440 ,$550 ,$670 ,$850 ,$820 ,$800 ,$820 ,$830 ,$790 ,$740 ,$750 
Zambia,ZMB,$330 ,$350 ,$360 ,$410 ,$460 ,$560 ,$720 ,$900 ,"$1,180 ","$1,280 ","$1,340 ","$1,420 ","$1,690 ","$1,760 ","$1,800 ","$1,580 ","$1,370 ","$1,300 ","$1,460 "
Zimbabwe,ZWE,$510 ,$540 ,$490 ,$440 ,$450 ,$460 ,$440 ,$420 ,$330 ,$420 ,$630 ,$920 ,"$1,110 ","$1,210 ","$1,260 ","$1,280 ","$1,290 ","$1,360 ","$1,530 "
Mozambique,MOZ,$320 ,$310 ,$280 ,$320 ,$350 ,$390 ,$420 ,$450 ,$500 ,$540 ,$520 ,$550 ,$600 ,$670 ,$690 ,$640 ,$530 ,$470 ,$460 
Liberia,LBR, .. , .. ,$250 ,$180 ,$210 ,$250 ,$290 ,$330 ,$390 ,$430 ,$460 ,$520 ,$560 ,$630 ,$630 ,$630 ,$620 ,$620 ,$610 
Guinea,GIN,$400 ,$360 ,$350 ,$340 ,$370 ,$360 ,$400 ,$470 ,$620 ,$670 ,$690 ,$680 ,$700 ,$700 ,$740 ,$760 ,$780 ,$830 ,$850 
Burkina Faso,BFA, .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. , .. ,$700 ,$660 ,$680 ,$760 
Nigeria,NGA,$470 ,$530 ,$630 ,$710 ,$870 ,"$1,030 ","$1,350 ","$1,610 ","$1,960 ","$2,040 ","$2,140 ","$2,190 ","$2,460 ","$2,720 ","$2,990 ","$2,880 ","$2,470 ","$2,100 ","$1,970 "
Niger,NER,$210 ,$210 ,$210 ,$230 ,$270 ,$310 ,$340 ,$360 ,$420 ,$450 ,$480 ,$480 ,$520 ,$540 ,$550 ,$520 ,$500 ,$490 ,$540 
Sub-Saharan Africa,SSF,$557 ,$550 ,$559 ,$609 ,$739 ,$903 ,"$1,048 ","$1,181 ","$1,333 ","$1,377 ","$1,444 ","$1,530 ","$1,672 ","$1,760 ","$1,812 ","$1,731 ","$1,579 ","$1,490 ","$1,508 "
